question,link
"P2) A relic is found to give an activity count of 12cpm (counts per minute) for each gram of carbon. If living trees give a count of 16cpm, find the approximate age of the relic, (answer: 2345 yr).",https://www.chegg.com/homework-help/questions-and-answers/p2-relic-found-give-activity-count-12-mathrm-cpm-counts-per-minute-gram-carbon-living-tree-q107102463
The threshold frequency of platinum is 1.36x10^15 Hz. what is the work function of platinum,https://www.chegg.com/homework-help/questions-and-answers/threshold-frequency-platinum-136x10-15-hz-work-function-platinum-q107102504
"A cord is wrapped around a pulley that is shaped like a disk of mass m=3,1 kg, radius r=3 m and moment of inertia I=2mr2​. The cord's free end is connected to a block of mass M=10 kg. The block starts from rest and then slides down an incline that makes an angle θ=30∘ with the horizontal. The acceleration of the block is 2 m/s2. The force of kinetic friction between block and incline is f. Take g=9.81 m/s2,sin30∘=0.5. A) Calculate the torque acting on the pulley in Nm.
B) Calculate the tension on the cord in Newtons.",https://www.chegg.com/homework-help/questions-and-answers/cord-wrapped-around-pulley-shaped-like-disk-mass-m-3-1-mathrm-~kg-radius-r-3-mathrm-~m-mom-q107102443
An ideal loroidial solenoid (Figure 1) has inner ladies r1​=15.2 cm and outer radius r2​=18.3 cm. Tho solonoig 1.3s 170 tuins and canies a cuerent of 8.80 A What is the magnitude of the magnetic field at 190 cm hom the cester of fhe frust? Express your answer with the appropriate units. Part C figure I of 1 What is the magntude of the eragnebc fuld at 220 cm from eve cintur of me lonu? Express your anawer with the approprlate unita.,https://www.chegg.com/homework-help/questions-and-answers/ideal-loroidial-solenoid-figure-1-inner-ladies-r-1-152-mathrm-~cm-outer-radius-r-2-183-mat-q107102469
"A circular steel column is 3 m long with 0.6 m diameter. It carries a compressive load of 45MN. Given that the Young's Modulus E is 200 kN/mm2, calculate: (i) the compressive stress (N/mm2) and strain and; (8 marks) (ii) the change in length of the column (mm). (3 marks)",https://www.chegg.com/homework-help/questions-and-answers/circular-steel-column-3-mathrm-~m-long-06-mathrm-~m-diameter-carries-compressive-load-45-m-q107102654
An incandescent heat lamp placed under a container of water close to its base. In which areas does heat transfer by radiation occur?!a) between A and Bb) between B and Cc) between C and Dd) between D and E,https://www.chegg.com/homework-help/questions-and-answers/incandescent-heat-lamp-placed-container-water-close-base-areas-heat-transfer-radiation-occ-q107102330
"Example 12.9. Compton scattering. A photon of energy E0​ ""bounces"" off an electron, initially at rest. Find the energy E of the outgoing photon, as a function of the scattering angle θ (see Fig. 12.28). FIGURE 12.28",https://www.chegg.com/homework-help/questions-and-answers/example-129-compton-scattering-photon-energy-e-0-bounces-electron-initially-rest-find-ener-q107102653
"5. 아래 그림처럼 크기 P=160 N 의 외력이 수평면 위에 놓인 질량 20.0 kg 의 물체에 작 용하여 8.00 m 움직이는 동안 물체의 속력이 0.500 m/s 에서 2.60 m/s 로 변했다. 이 과정에서 마찰력이 물체에 해준 일로서 가장 가까운 것은? (단, 지구 중력 가속도 크기는 9.80 m/s2 이다) 1. −1040 J 2. −1170 J 3. 1040 J 4. 1170 J 5. 1110 J",https://www.chegg.com/homework-help/questions-and-answers/5-p-160-mathrm-~n-200-mathrm-~kg-800-mathrm-~m-0500-mathrm-~m-mathrm-s-260-mathrm-~m-mathr-q107102783
"7) In your experiment, given that c=3×108 m/s in air, if length of the resin block is 32 cm, and the calculated refractive index of red light in risen is 1.6, then find the distance ( in cm) moved by the mirrors after removing the block to get the same phase relationship between output and input signals: a) 23.8 b) 25.0 c) 21.6 d) 27.2 e) 19.2 8) To find the velocity of light in air, the mirror is slid 148 cm along the graduated scale until the phase between the output and input signal on the oscilloscope has changed by π, given that the frequency of light is 50MHz. Find the speed of light ( in ×108 m/s2) : a) 2.63 b) 2.92 c) 2.96 d) 3 e) 3.4",https://www.chegg.com/homework-help/questions-and-answers/7-experiment-given-mathrm-c-3-times-10-8-mathrm-~m-mathrm-s-air-length-resin-block-32-math-q107102713
"Q15. (NOTE: TO BE SOLVED asing OCTAVE/ATLAB) As clectric current flows through a wire (see Figure), heat generated by resistance is conducted through a layer of insulation and then convected to the surrounding air. The steady-state temperature of the wire can be computed as: T=Tair​+2πq​[k1​ln(rw​rw​+ri​​)+h1​(rw​+ri​1​)] Develop M-file(s) to determine the thickness of insulation r1​ (m) that minimizes the wire's emperature given the following parameters: = heat generation rate =75 W/m, = wire radius =6 mm, ​ thermal conductivity of insulation =0.17 W/(mK), = convective heat transfer coefficieat =12 W/(m2 K). Tair = air temperature =293 K. (a) Golden-section search method in bracket for ri​ walues between 6 mm and 12 mm. (b) Include commands that check your answer in (a) using fminbnd (NOTE: (1) Please upload your MATLAB (.m) files to the link provided in Moodle) (2) Your file name should be ""YourName_YourID Q14.m"" (3) Write your name and ID in the comments of the function. (3) Perform all related hand calculations/derivations below.",https://www.chegg.com/homework-help/questions-and-answers/q15-note-solved-asing-octave-atlab-clectric-current-flows-wire-see-figure-heat-generated-r-q107102865
"(NOTE: TO BE SOLVED using OCTAVE/MATLAB) Q14. The following system simulate the time variation concentration of various species (reaction kinetics of reactants and products): dtdc1​​=−0.013c1​−1000c1​c3​dtdc2​​=−2500c2​c3​dtdc3​​=−0.013c1​−1000c1​c3​−2500c2​c3​​ Here c1​,c2​ are the concentrations of the reactants c3​ is the concentration of the products Given that c1​(0)=1,c2​(0)=1 and c3​(0)=0 (i) Develop MATLAB function files to solve them using the intrinsic ODE solvers, (1) ode45 (2) ode23, from t=0 to 50. Include the plot commands to plot the following while solving with each ODE solver: c1​ vs t,c2​ vs t,c3​ vs t (plot in the same figure) c1​ vs c2​,c2​ vs c3​,c1​ vs c c3​ ( plot in the same figure) (ii) What is the difference that you noticed between these two solvers? (NOTE: (1) Please upload your MATLAB (.m) files to the link provided in Moodle) (2) Your file name should be ""YourName_YourID_Q14.m' (3) Write your name and ID in the comments of the function. (3) Perform all related hand calculations/derivations below.",https://www.chegg.com/homework-help/questions-and-answers/note-solved-using-octave-matlab-q14-following-system-simulate-time-variation-concentration-q107102829
"P3) The activity of a certain radioisotope is observed to decrease by a factor of eight in 30 hours. a) What is the half-life of the isotope? (answer: 10hr ). b) What is the disintegration constant? (answer: 0.0693hr−1 ). c) If the present activity of the sample is 300 millicuries, what will be its activity after ten hours? (answer: 150 millicuries).",https://www.chegg.com/homework-help/questions-and-answers/p3-activity-certain-radioisotope-observed-decrease-factor-eight-30-hours-half-life-isotope-q107102468
"Flying Circus of Physics An explosion at ground level leaves a crater with a diameter that is proportional to the energy of the explosion raised to 1/3 power; an explosion of 1 megaton of TNT leaves a crater with a 1 km diameter. An ancient impact crater is found with a 63 km diameter. What was the kinetic energy associated with that impact, in terms of (a) megatons of TNT ( 1 megaton yields 4.2×1015 J ) and (b) Hiroshima bomb equivalents (13 kilotons of TNT each)? (Ancient meteorite or comet impacts may have significantly altered Earth's climate and contributed to the extinction of the dinosaurs and other life-forms.)",https://www.chegg.com/homework-help/questions-and-answers/flying-circus-physics-explosion-ground-level-leaves-crater-diameter-proportional-energy-ex-q107103121
"A cannon is rigidly attached to a carriage, which can move along horizontal rails but is connected to a post by a large spring, initially unstretched and with force constant k=400 N/m. The cannon fires a 3,1 kg projectile at a velocity of 100 m/s directed 45.0∘ above the horizontal. The mass of the cannon and its carriage is 50 kg. Take cos45.0∘=0.707 B) Calculate the maximum extension of the spring. (Hint: after the firing, mechanical energy of the spring-cannon system is conserved.)",https://www.chegg.com/homework-help/questions-and-answers/cannon-rigidly-attached-carriage-move-along-horizontal-rails-connected-post-large-spring-i-q107102911
"DTE: TO BE SOLVED BY HAND) Q11. Given the following initial value problem (ordinary differential equation with an initial condition): 3dtdy​+5y​=sint,y(0.2)=5, using Euler method with h=0.2, find the value of y(0.8) by hand. Show all the necessary steps, each step carries marks.",https://www.chegg.com/homework-help/questions-and-answers/dte-solved-hand-q11-given-following-initial-value-problem-ordinary-differential-equation-i-q107102831
"A cord is wrapped around a pulley that is shaped like a disk of mass m=3,1 kg, radius r=3 m and moment of inertia I=2mr2​. The cord's free end is connected to a block of mass M=10 kg. The block starts from rest and then slides down an incline that makes an angle θ=30∘ with the horizontal. The acceleration of the block is 2 m/s2. The force of kinetic friction between block and incline is f. Take g=9.81 m/s2,sin30∘=0.5. A) Calculate the torque acting on the pulley in Nm.
B) Calculate the tension on the cord in Newtons.",https://www.chegg.com/homework-help/questions-and-answers/cord-wrapped-around-pulley-shaped-like-disk-mass-m-3-1-mathrm-~kg-radius-r-3-mathrm-~m-mom-q107103344
"2. 질량 500 kg 인 자동차가 30 m/s 의 속력으로 곡률 반지름 100 m, 수평과의 경사각 π/6 (30∘) 인 곡선 도로를 미끄러짐 없이 주행하고 있다. 자동차 바퀴와 도로면 사이 정지 마찰 계수는 0.5 이다. 도로면이 자동차 바퀴에 작용하는 마찰력 크기로 가장 가까운 것은? (단, 지구 중력 가속도 크기는 9.80 m/s2 이다) (Hint: 도로면이 자동차 타이어에 작용하는 정지 마살력은 도로의 경사면을 따라 아래 방향으로 작용한다) 1. 1400 N 2. 2000 N 3. 3000 N 4. 4000 N 5. 0 N",https://www.chegg.com/homework-help/questions-and-answers/2-500-mathrm-~kg-30-mathrm-~m-mathrm-s-100-mathrm-~m-pi-6-left-30-circ-right--05--980-math-q107103281
1. Iki blok eylemsizlik momenti I ve yarıçapı 0.25 m olan bir makara üzerinden geçen kütlesi ihmal edilen bir ipin ucuna bağlıdır. Sürtünmesiz sistem gösterilen yönde 2 m/s2 lik ivme ile hareket etigine göre ipteki gerilme kuvvetlerini ve makaranın eylemsizlik momentini bulunuz? (Sin37=0.6),https://www.chegg.com/homework-help/questions-and-answers/1-iki-blok-eylemsizlik-momenti-ve-yar-ap-025-mathrm-~m-olan-bir-makara-zerinden-ge-en-k-tl-q107103441
"The following figure shows a conducting loop consisting of a half-circle of radius r=0.20 m and three straight sections. The half circle lies in a uniform magnetic field B that is directed out of the page; the field in given by B=4.0t2+2.0t+ 3 , with B in teslas and t in seconds. An ideal battery with emf Ebat ​=2.0 V is connected to the loop. The resistance of the loop is 2.0Ω. (a) What are magnitude and direction of the emf induced around the loop by field at t=10sec. (b) What is the current in the loop at t=10sec. Fig. 30-6 A battery is connected to a conducting loop that includes a half-circle of radius r lying in a uniform magnetic field. The field is directed out of the page; its magnitude is changing.",https://www.chegg.com/homework-help/questions-and-answers/following-figure-shows-conducting-loop-consisting-half-circle-radius-020-three-straight-se-q107103533
6. Ali is flying a Boeing 737 and want to reach Kuching International Airport 2450 km due south in 3.0 hours. A wind is blowing from the west at 150.0 km/h. Determine the speed should Ali choose to reach destination in time? (CO2) (3 Marks),https://www.chegg.com/homework-help/questions-and-answers/6-ali-flying-boeing-737-want-reach-kuching-international-airport-2450-mathrm-~km-due-south-q107103349
"Q2) A 5microfarad parallel plate capacitor with 3 mm thickness, dielectric constant εr​=4, and 1.5 A displacement current. Calculate (Spoints) a) The polarization P in the dielectric b) The charge stored in the capacitor",https://www.chegg.com/homework-help/questions-and-answers/q2-5-mathrm-microfarad-parallel-plate-capacitor-3-mathrm-~mm-thickness-dielectric-constant-q107103647
identifying where gravity and friction play a part and identifying which of Newton’s laws is seen in action. A ball thrown vertically into the air,https://www.chegg.com/homework-help/questions-and-answers/identifying-gravity-friction-play-part-identifying-newton-s-laws-seen-action-ball-thrown-v-q107103688
"The following figure shows a conducting loop consisting of a half-circle of radius r=0.20 m and three straight sections. The half circle lies in a uniform magnetic field B that is directed out of the page; the field in given by B=4.0t2+2.0t+ 3 , with B in teslas and t in seconds. An ideal battery with emf Ebat ​=2.0 V is connected to the loop. The resistance of the loop is 2.0Ω. (a) What are magnitude and direction of the emf induced around the loop by field at t=10sec. (b) What is the current in the loop at t=10sec. Fig. 30-6 A battery is connected to a conducting loop that includes a half-circle of radius r lying in a uniform magnetic field. The field is directed out of the page; its magnitude is changing.",https://www.chegg.com/homework-help/questions-and-answers/following-figure-shows-conducting-loop-consisting-half-circle-radius-020-three-straight-se-q107103551
"A regular plank 8 m long and 200 N in weight is attached to the wall by means of a pivot which it can easily rotate and lie horizontally.  The other end of the plank is connected to the wall by a cable making an angle of 53° to the horizontal.  If a 600 N man stands on the plank 2 m from the wall, find the tensile force in the cable in Newtons(N)",https://www.chegg.com/homework-help/questions-and-answers/regular-plank-8-m-long-200-n-weight-attached-wall-means-pivot-easily-rotate-lie-horizontal-q107103599
"Assuming GaAs at 351 K, answer the following question. You may assume: NC​=4.21×1017 cm−3NV​=9.52×1018 cm−3ni​=2×106 cm−3EG​=1.422eVkB​=8.62×10−5​ How far above (or below) the middle of the gap is the intrinsic Fermi level? Your answer should be in eV, round the answer to two decimal.",https://www.chegg.com/homework-help/questions-and-answers/assuming-gaas-351-mathrm-~k-answer-following-question-may-assume-begin-array-l-n-c-421-tim-q107103876
"Assuming GaAs at 300 K, answer the following question. You may assume: NC​=4.21×1017 cm−3NV​=9.52×1018 cm−3ni​=2×106 cm−3EG​=1.422eV​ How much is the electron concentration n, if the Firme level is 0.48ev above the Valance Band? Your answer should be in cm−3. your Answer should be written similar to (1.75e23)",https://www.chegg.com/homework-help/questions-and-answers/assuming-gaas-300-mathrm-~k-answer-following-question-may-assume-begin-array-l-n-c-421-tim-q107103872
"Assuming GaAs at 300 K, with ND​=496788635775.86 cm−3, answer the following question. You may assume: NC​=4.21×1017 cm−3NV​=9.52×1018 cm−3ni​=2×106 cm−3EG​=1.422eV​ Where is the Fermi level located with respect to the intrinsic level EF​−Ei​. in eV ? round the answer two decimal places.",https://www.chegg.com/homework-help/questions-and-answers/assuming-gaas-300-mathrm-~k-mathrm-n-mathrm-d-49678863577586-mathrm-~cm-3-answer-following-q107103881
"Assuming Si at 300 K, with answer the following question. You may also assume: NC​=3.23×1019 cm−3NV​=1.83×1019 cm−3ni​=1×1010 cm−3EG​=1.125eV​ silicon is doped with phosphorus at ND​=3.9∗1016 cm 3and with boron at NA​=1.9∗1016 cm. Where is the Fermi level located with respect to the conduction band, EF-EC in eV? round your answer two decimal of place.",https://www.chegg.com/homework-help/questions-and-answers/assuming-mathrm-si-300-mathrm-~k-answer-following-question-may-also-assume-begin-array-l-n-q107103886
"Assuming GaAs at 300 K, answer the following question. You may assume: NC​=4.21×1017 cm−3NV​=9.52×1018 cm−3ni​=2×106 cm−3EG​=1.422eV​ How much is the holes concentration p, if the Firme level is 0.28 ev above the Valance Band? Your answer should be in cm−3.your Answer should be written similar to (1.70e23)",https://www.chegg.com/homework-help/questions-and-answers/assuming-gaas-300-mathrm-~k-answer-following-question-may-assume-begin-array-l-n-c-421-tim-q107103873
"a) Compare and contrast waves of audible sound (frequency =300 Hz ) and waves from an ultrasonic probe (frequency =3MHz ). (AC 1.3) b) Explain the propagation and properties of P waves (longitudinal) and S waves (transverse) from an earthquake. (AC 1.1) c) A wave has a frequency of 5.45×1014 Hz. Calculate the wavelength and suggest the most likely colour of this light. (AC 1.3. 3.2) d) Explain why an ambulance siren appears to sound at a higher pitch when it approaches compared to when it is moving away. (AC 1.3) e) Waves can exhibit particle like properties and particles can exhibit wave like properties. What is this phenomenon called and give a brief statement of evidence for each case. (AC 3.2) f) A photon has an energy level of 4.3×10−19 J. Show using a suitable equation why this cannot be a photon of monochromatic red light. (AC 3.1,3.2 )",https://www.chegg.com/homework-help/questions-and-answers/compare-contrast-waves-audible-sound-frequency-300-mathrm-~hz-waves-ultrasonic-probe-frequ-q107103602
,https://www.chegg.com/homework-help/questions-and-answers/ial-rina-new-bohder-blese-thaderd-q107103917
"A sample of a monatomic ideal gas containing 6.00×1023 atoms in a volume of 8.00×10−3 m3 is initially in thermal equilibrium with its surroundings at 300 K. The gas is made to expand until the final volume is 6.40×10−2 m3, and the final temperature is 50 K. What is the change in entropy of the gas? (10\%)",https://www.chegg.com/homework-help/questions-and-answers/sample-monatomic-ideal-gas-containing-600-times-10-23-atoms-volume-800-times-10-3-mathrm-~-q107104044
Q.4) If the weight in the beam is not negligible determine the angle α necessary for the beam to be in equilibrium. The uniform beam weighs 4000lb.,https://www.chegg.com/homework-help/questions-and-answers/q4-weight-beam-negligible-determine-angle-alpha-necessary-beam-equilibrium-uniform-beam-we-q107103981
1. How does a zener diode act when it is connected in the forward-bias manner? 2. How does a zener diode operate when it is connected as a voltage regulator? 3. How does a zener diode operate when it is connected as a protection device? 4. Explain the difference between a zener diode and a p−n junction diode.,https://www.chegg.com/homework-help/questions-and-answers/1-zener-diode-act-connected-forward-bias-manner-2-zener-diode-operate-connected-voltage-re-q107104148
"4. An ice box contains 0.5 kg of ice at 0∘C. The outside air temperature is 20∘C. The latent heat of fusion of ice is 334 kJ/kg. The walls of the box comprise two layers of 1 mm thick aluminium with a thermal conductivity of 237 W/mK, separated by a 3 mm vacuum layer with a thermal conductivity of 1 mW/mK. The box has dimensions 30×50×50 cm. a) How long will it take the ice to melt? b) If the vacuum seal breaches and the conductivity rises to 25 mW/mK, how long will it take?",https://www.chegg.com/homework-help/questions-and-answers/4-ice-box-contains-05-mathrm-~kg-ice-0-circ-mathrm-c--outside-air-temperature-20-circ-math-q107103907
"Assuming GaAs at 304 K, answer the following question. You may assume: NC​=4.21×1017 cm−3NV​=9.52×1018 cm−3ni​=2×106 cm−3EG​=1.422eVkB​=8.62×10−5​ How far above (or below) the middle of the gap is the intrinsic Fermi level? Your answer should be in eV, round the answer to two decimal.",https://www.chegg.com/homework-help/questions-and-answers/assuming-gaas-304-mathrm-~k-answer-following-question-may-assume-begin-array-l-n-c-421-tim-q107104119
"Two long and parallel wires carry currents of 8 A and 12 A in opposite directions, as shown in the diagram. The distance between the wires is 4 cm. a. How much force per unit length is given by one wire on the other? b. Where does the force on each wire go? c. What is the total force applied to a 12−A wire 30 cm long? d. Calculate the magnetic force generated by the 8-A wire at the position of Wire 12-A. e. Where does the magnetic field generated by 8 A wire go in the 12 A wire position?",https://www.chegg.com/homework-help/questions-and-answers/two-long-parallel-wires-carry-currents-8-mathrm-~-12-mathrm-~-opposite-directions-shown-di-q107104173
"- Ex: With the help of superposition theorem, computer the value of current I and voltage V0​ in the given circuit. Ex: Apply this theorem to calculate the current through the 4Ω resistor in the circuit.",https://www.chegg.com/homework-help/questions-and-answers/ex-help-superposition-theorem-computer-value-current-voltage-v-0-given-circuit-ex-apply-th-q107104164
" In a clinical lab ,. the molar optical absorption of solution A is quarter the second B. The molar absorbance of B is twice the A. find the ration of concentration A and B if they have the same path length .",https://www.chegg.com/homework-help/questions-and-answers/clinical-lab--molar-optical-absorption-solution-quarter-second-b-molar-absorbance-b-twice--q107104165
​​​​​​​,https://www.chegg.com/homework-help/questions-and-answers/vacuum-plates-exercise-1612-suppose-capacitor-two-dielectrics-arranged-shown-figure-1630-d-q107104325
"P5) The decay constant of 14C is 1.210×10−4yr−1. If a sample contains 106 atoms of 14C initially, how many will it contain after 1 year? (answer: 999,879 atoms).",https://www.chegg.com/homework-help/questions-and-answers/p5-decay-constant-14-mathrm-c-1210-times-10-4-mathrm-yr-1--sample-contains-106-atoms-14-ma-q107104038
,https://www.chegg.com/homework-help/questions-and-answers/moving-next-question-prevents-changes-answer-question-3-contact-electric-field-depletion-r-q107104352
"Fadar is used to determine estances to variegs objects by meagung the reund-trip time for an echo from the object. Ca) Hin far awor is the planet Werus if the euha time is 845 s? What is the speed of lipth? kew are speed, time, and dutarce roloted? m (b) What is the echo bine for a car 73.0 m trom a tighway Fatrol rader unt? x What is the speed of light? How are icees, time, and distance related? μ s OSCOLPHYS2016 24.3.WA.623. An tCercuit with a 4.70 pf capacitor escltates in such a manner as to radiate at a wavelesgth of 3.00 m. (a) What is the resanat frequency? Wret is the relabanthip between the frecuency of light and the wavelength of light? it (ta) What indectance is it aeries with the capacrer?",https://www.chegg.com/homework-help/questions-and-answers/fadar-used-determine-estances-variegs-objects-meagung-reund-trip-time-echo-object-ca-hin-f-q107104355
,https://www.chegg.com/homework-help/questions-and-answers/moving-next-question-prevents-changes-answer-question-3-1-points-forward-biasing-connectio-q107104351
"wn in the fewere beloe, two long parallel wires (1 and 2 ) carry currents of I1​=2.76 A and I2​=5.50A in the direction ind \{a) Detcimine the magntude and drection of the magnetic theid at a point midway between the wires (d = 10,0 om). megntude direction = counterclocknise from the + k-axis (b) Determine the magnitude and direction of the magnetic field at point P, located d=10.0 cm abore wire 1 . magnitude direction counterdockwise from the treavis.",https://www.chegg.com/homework-help/questions-and-answers/wn-fewere-beloe-two-long-parallel-wires-left-1-right-2-carry-currents-1-276-2-550-directio-q107104335
,https://www.chegg.com/homework-help/questions-and-answers/forward-biasing-connection-practical-zener-diode-represented-b--resistance-b-close-switch--q107104375
,https://www.chegg.com/homework-help/questions-and-answers/1-produce-laser-pulses-2-main-parameters-laser-pulse-q107104378
A rock has been thrown straight down with 12 m/s. What its velocity when it is 4.0 m below? −15 m/s 15 m/s −8.1 m/s 8.1 m/s,https://www.chegg.com/homework-help/questions-and-answers/rock-thrown-straight-12-mathrm-~m-mathrm-s--velocity-40-mathrm-~m-15-mathrm-~m-mathrm-s-15-q107104031
"b) (5 p) Further on, based on Eqs. (1) and (2), show that this energy can be written in termy of the change of the difference of potential encrgies, △Q(2) of the given masses, as they move as much ∣z∣, i.e. Δq(2)=(mn​g−m,g)∣z∣.  c) (5 p) Thus show that one can, based on Eqs. (1), (2), and (3), write (m2g−mig)∣z∣=(mj+mi)v(z)2/2.  What is then the acceleration a of the system, just as you would have derived in your Mid Term Exam? [The masses in consideration would move under g, if they were on their own. And then we would write for any of them, as usual, g∣z∣=v2(z)/2, assuming g remains constant throughout. But they move now, with still the constant acceleration, a, as delineated by Eq. (1). Under the circumstances, we would write, instead, a|z|= v2(z)/2. Note thes that, this would straight bring w to Eq.(S).] d) ( 5 p) Discuss that Eq. (5), is nothing clse but, Decreased potential energy-Acquired kineric energy. (6) Essentially show that this is yielded by the energy definitions based on the equality of forces delineated by Eq.(1). c) (5 p) Based on Eq. (5), derive the velocity w(H), at the time the mass m2​ hits the ground f) (10p) Even after the mass m y hits the ground, the mass m, will continue to move upward, but against the acceleration g. now. How much more then, the mass m, would climb? Call this extra displacement h;",https://www.chegg.com/homework-help/questions-and-answers/b-5-p-based-eqs-1-2-show-energy-written-termy-change-difference-potential-encrgies-triangl-q107104397
5. Calculate the peak power of a femtosecond laser pulse with 10 mJ energy 6. What is the laser ablation?,https://www.chegg.com/homework-help/questions-and-answers/5-calculate-peak-power-femtosecond-laser-pulse-10-mathrm-~mj-energy-6-laser-ablation-q107104403
"The magituse of the magnetic nox through the surface of a cirowar plate is 5.10×10.5 T+m2 when it is placed in a region of undorm magnetic field that is ansented at 43.00 to the vertical. The madius of the plate is 8.50 cm. Determine the strength of the magnetk fied. x How is the mognetic fux reistod to the magnetic feld and the ares of the surface7 What is the angle between the nosmal to the suiface and the magnesic field? mr
(a) What is the characteristic time constant of a 26.1mH inductor that has a resiatance of 4.09Ω ? Review the definition of time constant for an RL circuit. ms (b) If it is connected to a 12.0 V battery, what is the current after 12.5 ms ? A",https://www.chegg.com/homework-help/questions-and-answers/magituse-magnetic-nox-surface-cirowar-plate-510-times-10-5-mathrm-~t-mathrm-m-2-placed-reg-q107104342
